Timestamp,Gender,Age,Education,Current occupation ,What is your latest job and position before retired? __________,Marital status ,Children ,Grandchildren ,Household income per month ,Where do you live?,Do you use social media?,"
 What type of social media do you use?",What kind of communication tools do you use?,What do you do in free-time?,An average hour spent on social media per day,"I use social media to contact with
family, cousin, friends.",I use social media to update news,"I use social media to read product
review",I use social media to update trend,I use social media for work,"I post my personal story/photo on
social media such as Facebook","I interact with what friend share on
social media","Social media help me to contact with
family easily","Social media help me to contact with
friends easily","Social media help me to connect with
old friends",Social media can connect the world,"Social media can reduce gap in
family among different generations","I don't feel alone anymore when I use
social media","It is convenience to update news
through social media","It is faster to update news from social
media rather than traditional media","Social media help to save cost for
communication than using normal
phone call",I find social media useful for my job,I feel safe when I use social media,I think social media is easy to use,"I think message that people share on
social media is useful","I always find second source of
information to support before I share
anything on social media","I believe in letter chain when people
share on social media"
3/24/2025 13:28:22,Male,55-70 years old,Bachelor's degree,Full-time employed,,Live with family,2,1,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer",Traveling,8,3,4,3,3,2,4,3,3,3,4,3,4,4,4,3,3,4,4,4,3,4,2
3/26/2025 20:12:19,Female,Lower than 60 years old,Bachelor's degree,Full-time employed,Contractor,Live with family,4 or above,0,"50,001-100,000",India,Yes,Facebook,Smart phone,Watch news,4,2,3,4,3,3,3,4,4,2,3,2,3,3,2,2,2,2,2,2,2,2,2
3/26/2025 20:17:30,Female,Lower than 60 years old,Bachelor's degree,Full-time employed,,Alone,0,0,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Smart phone, Tablet, Computer",Meeting friends,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/26/2025 20:37:09,Male,71 years old and above,High school,Retired,,Alone,4 or above,3,"More than 100,000",India,No,Snapchat,Smart phone,Reading book,9,2,2,2,4,4,1,1,4,2,1,4,2,3,2,2,2,2,2,4,1,1,4
3/26/2025 20:38:42,Female,50-60 years old,Masters,Social worker,,Live with family,2,0,"More than 100,000",India,Yes,Facebook,Smart phone,Reading book,10,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,1
3/26/2025 21:01:59,Female,71 years old and above,Bachelor's degree,Retired,Teacher,Live with family,2,2,"More than 100,000",India,Yes,Facebook,Smart phone,Reading book,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/26/2025 21:02:36,Female,60-70 years old,High school,Retired,Housemaker,Live with family,3,4 or above,"More than 100,000",India,Yes,Other (please specify) _____________,Smart phone,"Watching the news, tv shows and cooking videos ",4,2,1,3,3,5,5,4,1,4,5,1,1,2,1,1,2,5,3,2,2,4,2
3/26/2025 21:07:39,Male,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,1,0,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Normal phone (Can only call and SMS), Smart phone, Computer",Reading book,8,3,2,4,2,3,2,5,2,5,4,2,4,2,3,2,3,2,4,4,4,4,4
3/26/2025 21:52:30,Female,40-50 year old,Master's degree and PhD,Full-time employed,Associate professor ,Live with family,2,0,"More than 100,000",India,Yes,Instagram,"Smart phone, Tablet, Computer",Reading book,2,2,2,2,2,5,2,2,2,2,1,1,1,2,2,2,1,2,3,1,3,3,3
3/26/2025 22:24:36,Female,40-50 year old,Bachelor's degree,House wife ,,Live with family,2,0,"30,001-50,000",India,Yes,"Facebook, Instagram",Smart phone,Planting,1,4,4,3,2,4,5,3,1,1,1,1,3,3,2,3,3,3,3,4,3,3,3
3/27/2025 11:06:52,Female,40-50 year old,Bachelor's degree,Full-time employed,,Live with family,2,0,"50,001-100,000",India,No,Other (please specify) _____________,Smart phone,Planting,1,3,3,5,5,3,5,3,3,3,3,3,3,4,2,2,2,3,3,3,4,3,3
3/27/2025 11:11:50,Male,50-60 years old,Bachelor's degree,Part-time employed,,Alone,3,3,"More than 100,000",India,Yes,"Facebook, Twitter",Smart phone,Traveling,10,3,2,4,2,4,3,3,2,4,2,4,3,2,4,3,3,4,2,3,2,4,4
3/27/2025 11:14:03,Male,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,2,0,"50,001-100,000",India,No,"Facebook, Instagram",Smart phone,Meeting friends,1,4,4,4,4,4,4,4,3,4,4,3,1,1,3,3,3,4,3,3,3,3,3
